what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682627196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682671496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682678241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682678481
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682678511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682679188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1342682679189
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342682679589
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1342682680543
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682685963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682691846
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1342682691909
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1342682697474
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1342682697504
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682699137
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682725332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682726573
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682731388
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1342682734314
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682735598
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1342682736889
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682736907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682737011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682738413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682740075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682740295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682740341
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682741312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1342682741314
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1342682743009
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682744197
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682746377
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682751305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682760974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682792457
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682793853
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1342682796757
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682797705
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682799210
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682800554
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682805642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682807256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682817389
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1342682819979
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682821034
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682822446
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682824571
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682826711
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342682828627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682832574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682838263
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1342682838303
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1342682844192
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1342682844219
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682844269
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342682867498
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342682887471
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1342682893354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1342682895479
