what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392370423
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350392377481
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392400852
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350392404505
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1350392528244
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350392529948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392531808
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392564497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392568853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392580310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392582059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392636527
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392636921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392652339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1350392654615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392657936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392662828
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1350392662893
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392666600
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392666621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350392690881
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392694659
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350392712069
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392713591
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350392716630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392736998
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392769843
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1350392772138
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392773127
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392773142
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392773142
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1350392774318
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392774318
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1350392777389
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1350392777389
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392777399
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1350392777410
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1350392777471
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392777472
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392777478
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1350392777541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392778283
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392836021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392841591
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392905664
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350392909800
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1350392912281
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1350392912323
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350392925110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392929698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392962977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392967666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392979877
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392982908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392993418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350392996702
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350392997832
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393025266
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393026791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393084679
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1350393086699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393093113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393096873
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1350393096910
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393098273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393100546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1350393100567
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1350393106273
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1350393106335
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350393110082
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350393111716
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350393114262
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350393115864
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350393118180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350393119673
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1350393129364
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1350393129365
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350393135699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393140281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350393144678
